// 人工生命體 數據表
//
// 數據表的結構:
// Class,EvoClass,Name,FoodID,HungryDelay,BaseSize,EvoSize,Race,Element,bASPD,bHP,bSP,bSTR,bAGI,bVIT,bINT,bDEX,bLUK,gnHP,gxHP,gnSP,gxSP,gnSTR,gxSTR,gnAGI,gxAGI,gnVIT,gxVIT,gnINT,gxINT,gnDEX,gxDEX,gnLUK,gxLUK,enHP,exHP,enSP,exSP,enSTR,exSTR,enAGI,exAGI,enVIT,exVIT,enINT,exINT,enDEX,exDEX,enLUK,exLUK
//
// 01. Class        人工生命體 ID.
// 02. EvoClass     進化版的人工生命體 ID 
// 03. Name         人工生命體的名稱.
// 04. FoodID       人工生命體飼料ID.
// 05. HungryDelay  人工生命體飢餓值重新計算的間隔時間，以毫微素為單位
// 06. BaseSize     基本形態人工生命體的體型大小 (0 = 小型, 1 = 一般, 2 = 大型)
// 07. EvoSize      進化版人工生命體的體型大小 (0 = 小型, 1 = 一般, 2 = 大型)
// 08. Race         人工生命體的種族 (0 = 無形, 1 = 不死, 2 = 動物, 3 = 植物, 4 = 昆蟲, 5 = 魚, 6 = 惡魔, 7 = 人型, 8 = 天使, 9 = 龍族).
// 09. Element      人工生命體的元素屬性 (0 = 無屬性, 1 = 水屬性, 2 = 地屬性, 3 = 火屬性, 4 = 風屬性, 5 = 毒屬性, 6 = 聖屬性, 7 = 闇屬性, 8 = 念屬性, 9 = 不死屬性).
//                 人工生命體元素屬性的等級永遠是 1。
// ...
//
// 說明: b: 基本素質, gn: 最小成長值, gx: 最大成長值, en: 最小進化值, ex: 最大進化值
// 注意: 只有成長值是等於實際的1/10比例, 其他素盾都是 1/1的比例 (例如: 5 gnAGI 實際等於 0.5 agi)

//普通生命體
6001,6009,麗芙,537,60000,0,1,7,0,700,150,40,17,20,15,35,24,12,60,100,4,9,5,19,5,19,5,19,4,20,6,20,6,20,1,10,10,20,1,5,1,4,1,5,4,10,1,10,1,3
6002,6010,艾咪斯可魯,912,60000,0,1,2,0,700,320,10,20,17,35,11,24,12,80,130,1,4,8,20,4,20,4,20,1,10,3,19,3,19,10,20,1,10,1,10,1,5,4,10,1,3,1,4,1,5
6003,6011,飛里樂,910,60000,0,1,2,0,700,90,25,29,35,9,8,30,9,45,75,3,6,4,20,8,20,1,10,3,19,4,20,3,19,5,15,5,15,4,10,1,10,1,3,1,4,1,5,1,5
6004,6012,巴尼米樂斯,911,60000,0,1,0,0,700,80,11,11,11,11,11,11,11,30,150,0,7,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,10,1,10,1,10,1,10,1,10,1,10
6005,6013,麗芙II,537,60000,0,1,7,0,700,150,40,17,20,15,35,24,12,60,100,4,9,5,19,5,19,5,19,4,20,6,20,6,20,1,10,10,20,1,5,1,4,1,5,4,10,1,10,1,3
6006,6014,艾咪斯可魯II,912,60000,0,1,2,0,700,320,10,20,17,35,11,24,12,80,130,1,4,8,20,4,20,4,20,1,10,3,19,3,19,10,20,1,10,1,10,1,5,4,10,1,3,1,4,1,5
6007,6015,飛里樂II,910,60000,0,1,2,0,700,90,25,29,35,9,8,30,9,45,75,3,6,4,20,8,20,1,10,3,19,4,20,3,19,5,15,5,15,4,10,1,10,1,3,1,4,1,5,1,5
6008,6016,巴尼米樂斯II,911,60000,0,1,0,0,700,80,11,11,11,11,11,11,11,30,150,0,7,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,10,1,10,1,10,1,10,1,10,1,10

// 變異生命體
6048,6048,艾蘿,6098,60000,1,1,8,0,700,450,120,36,60,45,105,86,42,40,160,20,42,13,39,14,48,15,25,16,36,28,42,9,18,1000,2000,10,200,1,10,1,10,1,10,1,10,1,10,1,10
6049,6049,巴耶黎,6112,60000,1,1,2,0,700,1060,30,60,51,105,33,86,39,90,360,48,52,18,36,22,44,16,32,12,24,8,36,20,36,1000,2000,10,200,1,10,1,10,1,10,1,10,1,10,1,10
6050,6050,賽拉,6108,60000,1,1,4,0,700,330,80,87,90,55,24,126,9,60,240,36,64,10,25,7,35,5,25,28,40,16,32,20,40,1000,2000,10,200,1,10,1,10,1,10,1,10,1,10,1,10
6051,6051,迪爾特,6104,60000,1,1,0,0,700,300,44,44,44,44,44,53,44,240,480,40,120,20,40,15,40,18,36,16,32,13,26,4,16,1000,2000,10,200,1,10,1,10,1,10,1,10,1,10,1,10
6052,6052,伊琳諾雅,6115,60000,1,1,7,0,700,310,60,87,115,27,24,108,27,60,300,10,20,20,40,5,15,24,48,12,36,10,50,2,10,1000,2000,10,200,1,10,1,10,1,10,1,10,1,10,1,10
